Item,Description,Qty.,"Unit Price
(USD)","Total Price 
(USD)",URL,"Running Total
(USD + Tax)"
XIAO RP2040,ARM® Cortex®-M0+ MCU 32-Bit Embedded Evaluation Board,1,$4.68,$4.68,https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/102010428/14672129,$5.16
Rotary Encoder,Rotary Encoder Incremental 24 Quadrature (Incremental) Horizontal,1,$1.72,$1.72,https://www.digikey.com/en/products/detail/bourns-inc/PEC12R-4020F-S0024/4699271,$7.06
Reverse Neopixels,"Addressable Lighting - 10 LED Discrete Red, Green, Blue (RGB)",1,$2.95,$2.95,https://www.digikey.com/en/products/detail/adafruit-industries-llc/4960/14302512,$10.31
Backlight Neopixels,"Addressable Lighting Neopixel 10 LED Discrete Serial (Shift Register) Red, Green, Blue (RGB) ",1,$4.50,$4.50,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1655/5154679,$15.27
Akko Keyboard Switches,Akko V3 Silver Pro Keyboard Switch 5-Pin Linear Pre-Lubed Switches (45pcs),1,$16.99,$16.99,https://www.amazon.com/dp/B0CDW6W2P5?ref=cm_sw_r_cso_cp_apin_dp_HSMA9S87491DNTP9KS93&ref_=cm_sw_r_cso_cp_apin_dp_HSMA9S87491DNTP9KS93&social_share=cm_sw_r_cso_cp_apin_dp_HSMA9S87491DNTP9KS93&th=1,$34.00
Schottky Diodes,Diode 30 V 200mA Surface Mount 0603,4,$0.17,$0.68,https://www.digikey.com/en/products/detail/taiwan-semiconductor-corporation/TSS54U-RGG/7360711,$34.75
Resistor,"For Neopixel Data Line. 379 Ohms ±0.1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric)",1,$0.12,$0.12,https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/RN73R1JTTD3790B25/10016392,$34.88
PCB,"PCB Manufactured by JLCPCB. White, 1.6mm, HASL w/ lead",5,$0.40,$2.00,https://jlcpcb.com,$37.09
Lower Case,"Case Manufactured by JLC3DP. 8001 Resin, Translucent",1,$2.19,$2.19,https://jlc3dp.com,$39.50
Upper Case,Case Manufactured by JLCPCB. Black Resin,1,$2.43,$2.43,https://jlc3dp.com,$42.18
Keycaps,DSA Keycaps White 24pcs,1,$8.99,$8.99,www.amazon.com/Mechkeeb-Profile-Switches-Keyboard-Replacement/dp/B0BWDTBF1L,$52.09
Rotary Encoder Knob,Aluminum Rotary Encoder Knob 2pcs,1,$8.99,$8.99,www.amazon.com/Szliyands-Aluminum-Electronic-Potentiometer-Knob，Switch/dp/B099PX52LW,$62.00
Threaded Inserts,M3 Threaded Inserts 152pcs,1,$6.99,$6.99,https://www.amazon.com/Vibit-Threaded-Soldering-Printing-Components/dp/B0FWWW8VP1/ref=sr_1_3,$69.71
Machine Screws,M3 Screw Kit,1,$9.99,$9.99,https://www.amazon.com/Fgruh-750PCS-Assortment-Washers-Assorted/dp/B0FGV5FCBN/ref=sr_1_3?crid=2UNAGQJ7TRSPF&dib=eyJ2IjoiMSJ9.T3HWVrCMzkskj4FDtvfCYjAhiKf2eIXJNrTn39_bFjBR1J806O1NskeC_TrNL2d-0_rv4c3tJ2WiIqImzYRsNdlKskiq_KPhw2MnuLHrr7ROWvp0aYAezCjHHAfx-j9R1FgRYMZR6z3j6DWbe_FTcKSI5cNCdqJEDhLnH9UyM0u5ed6Of07kpRqKBp5WkTLn8qUsW4GWJz8Y-hXZX6mGeCbl1zGSf24ox8LtrZCSgZs.QTs0QwFb8cDs_wXvUWLPa0GUjuv97zXGykg1SJQzuNE&dib_tag=se&keywords=m3+screw+set&qid=1771132139&sprefix=m3+screw+set%2Caps%2C211&sr=8-3,$80.72
Digikey Shipping,,1,$4.99,$4.99,,$86.22
JLC Shipping,,1,$8.93,$8.93,,$96.07